country,year,forest-km
Afghanistan,2012,13500
Afghanistan,2011,13500
Afghanistan,2010,13500
Afghanistan,2009,13500
Afghanistan,2008,13500
Afghanistan,2007,13500
Afghanistan,2006,13500
Afghanistan,2005,13500
Afghanistan,2004,13500
Afghanistan,2003,13500
Afghanistan,2002,13500
Afghanistan,2001,13500
Afghanistan,2000,13500
Afghanistan,1999,13500
Afghanistan,1998,13500
Afghanistan,1997,13500
Afghanistan,1996,13500
Afghanistan,1995,13500
Afghanistan,1994,13500
Afghanistan,1993,13500
Afghanistan,1992,13500
Afghanistan,1991,13500
Afghanistan,1990,13500
Albania,2012,7740.2
Albania,2011,7751.6
Albania,2010,7763
Albania,2009,7774.4
Albania,2008,7785.8
Albania,2007,7797.2
Albania,2006,7808.6
Albania,2005,7820
Albania,2004,7794
Albania,2003,7768
Albania,2002,7742
Albania,2001,7716
Albania,2000,7690
Albania,1999,7710
Albania,1998,7730
Albania,1997,7750
Albania,1996,7770
Albania,1995,7790
Albania,1994,7810
Albania,1993,7830
Albania,1992,7850
Albania,1991,7870
Albania,1990,7890
Algeria,2012,14744
Algeria,2011,14832
Algeria,2010,14920
Algeria,2009,15008
Algeria,2008,15096
Algeria,2007,15184
Algeria,2006,15272
Algeria,2005,15360
Algeria,2004,15446
Algeria,2003,15532
Algeria,2002,15618
Algeria,2001,15704
Algeria,2000,15790
Algeria,1999,15878
Algeria,1998,15966
Algeria,1997,16054
Algeria,1996,16142
Algeria,1995,16230
Algeria,1994,16318
Algeria,1993,16406
Algeria,1992,16494
Algeria,1991,16582
Algeria,1990,16670
American Samoa,2012,176.4
American Samoa,2011,176.8
American Samoa,2010,177.1
American Samoa,2009,177.5
American Samoa,2008,177.8
American Samoa,2007,178.1
American Samoa,2006,178.5
American Samoa,2005,178.8
American Samoa,2004,179.1
American Samoa,2003,179.5
American Samoa,2002,179.8
American Samoa,2001,180.2
American Samoa,2000,180.5
American Samoa,1999,180.8
American Samoa,1998,181.2
American Samoa,1997,181.5
American Samoa,1996,181.9
American Samoa,1995,182.2
American Samoa,1994,182.5
American Samoa,1993,182.9
American Samoa,1992,183.2
American Samoa,1991,183.5
American Samoa,1990,183.9
Andorra,2012,160
Andorra,2011,160
Andorra,2010,160
Andorra,2009,160
Andorra,2008,160
Andorra,2007,160
Andorra,2006,160
Andorra,2005,160
Andorra,2004,160
Andorra,2003,160
Andorra,2002,160
Andorra,2001,160
Andorra,2000,160
Andorra,1999,160
Andorra,1998,160
Andorra,1997,160
Andorra,1996,160
Andorra,1995,160
Andorra,1994,160
Andorra,1993,160
Andorra,1992,160
Andorra,1991,160
Andorra,1990,160
Angola,2012,582304
Angola,2011,583552
Angola,2010,584800
Angola,2009,586048
Angola,2008,587296
Angola,2007,588544
Angola,2006,589792
Angola,2005,591040
Angola,2004,592288
Angola,2003,593536
Angola,2002,594784
Angola,2001,596032
Angola,2000,597280
Angola,1999,598528
Angola,1998,599776
Angola,1997,601024
Angola,1996,602272
Angola,1995,603520
Angola,1994,604768
Angola,1993,606016
Angola,1992,607264
Angola,1991,608512
Angola,1990,609760
Antigua and Barbuda,2012,98
Antigua and Barbuda,2011,98
Antigua and Barbuda,2010,98
Antigua and Barbuda,2009,98
Antigua and Barbuda,2008,98
Antigua and Barbuda,2007,98
Antigua and Barbuda,2006,98
Antigua and Barbuda,2005,98
Antigua and Barbuda,2004,98.4
Antigua and Barbuda,2003,98.8
Antigua and Barbuda,2002,99.2
Antigua and Barbuda,2001,99.6
Antigua and Barbuda,2000,100
Antigua and Barbuda,1999,100.3
Antigua and Barbuda,1998,100.6
Antigua and Barbuda,1997,100.9
Antigua and Barbuda,1996,101.2
Antigua and Barbuda,1995,101.5
Antigua and Barbuda,1994,101.8
Antigua and Barbuda,1993,102.1
Antigua and Barbuda,1992,102.4
Antigua and Barbuda,1991,102.7
Antigua and Barbuda,1990,103
Arab World,2012,182118.4
Arab World,2011,733437.5
Arab World,2010,882742.5
Arab World,2009,883851.5
Arab World,2008,884960.7
Arab World,2007,886069.1
Arab World,2006,887179.1
Arab World,2005,888288.7
Arab World,2004,889382.5
Arab World,2003,890478.3
Arab World,2002,891573.2
Arab World,2001,892669
Arab World,2000,893764.8
Arab World,1999,900293.8
Arab World,1998,906823.8
Arab World,1997,913352.8
Arab World,1996,919882.8
Arab World,1995,926413.8
Arab World,1994,932942.8
Arab World,1993,939472.8
Arab World,1992,946002.8
Arab World,1991,952531.8
Arab World,1990,959062.8
Argentina,2012,289204
Argentina,2011,291602
Argentina,2010,294000
Argentina,2009,296398
Argentina,2008,298796
Argentina,2007,301194
Argentina,2006,303592
Argentina,2005,305990
Argentina,2004,308514
Argentina,2003,311038
Argentina,2002,313562
Argentina,2001,316086
Argentina,2000,318610
Argentina,1999,321542
Argentina,1998,324474
Argentina,1997,327406
Argentina,1996,330338
Argentina,1995,333270
Argentina,1994,336202
Argentina,1993,339134
Argentina,1992,342066
Argentina,1991,344998
Argentina,1990,347930
Armenia,2012,2536
Armenia,2011,2578
Armenia,2010,2620
Armenia,2009,2662
Armenia,2008,2704
Armenia,2007,2746
Armenia,2006,2788
Armenia,2005,2830
Armenia,2004,2872
Armenia,2003,2914
Armenia,2002,2956
Armenia,2001,2998
Armenia,2000,3040
Armenia,1999,3083
Armenia,1998,3126
Armenia,1997,3169
Armenia,1996,3212
Armenia,1995,3255
Armenia,1994,3298
Armenia,1993,3341
Armenia,1992,3384
Armenia,1990,3470
Aruba,2012,4.2
Aruba,2011,4.2
Aruba,2010,4.2
Aruba,2009,4
Aruba,2008,4
Aruba,2007,4
Aruba,2006,4
Aruba,2005,4
Aruba,2004,4
Aruba,2003,4
Aruba,2002,4
Aruba,2001,4
Aruba,2000,4
Aruba,1999,4
Aruba,1998,4
Aruba,1997,4
Aruba,1996,4
Aruba,1995,4
Aruba,1994,4
Aruba,1993,4
Aruba,1992,4
Aruba,1991,4
Aruba,1990,4
Australia,2012,1474520
Australia,2011,1483760
Australia,2010,1493000
Australia,2009,1502240
Australia,2008,1511480
Australia,2007,1520720
Australia,2006,1529960
Australia,2005,1539200
Australia,2004,1541200
Australia,2003,1543200
Australia,2002,1545200
Australia,2001,1547200
Australia,2000,1549200
Australia,1999,1548780
Australia,1998,1548360
Australia,1997,1547940
Australia,1996,1547520
Australia,1995,1547100
Australia,1994,1546680
Australia,1993,1546260
Australia,1992,1545840
Australia,1991,1545420
Australia,1990,1545000
Austria,2012,38970
Austria,2011,38920
Austria,2010,38870
Austria,2009,38820
Austria,2008,38770
Austria,2007,38720
Austria,2006,38670
Austria,2005,38620
Austria,2004,38572
Austria,2003,38524
Austria,2002,38476
Austria,2001,38428
Austria,2000,38380
Austria,1999,38318
Austria,1998,38256
Austria,1997,38194
Austria,1996,38132
Austria,1995,38070
Austria,1994,38008
Austria,1993,37946
Austria,1992,37884
Austria,1991,37822
Austria,1990,37760
Azerbaijan,2012,9360
Azerbaijan,2011,9360
Azerbaijan,2010,9360
Azerbaijan,2009,9360
Azerbaijan,2008,9360
Azerbaijan,2007,9360
Azerbaijan,2006,9360
Azerbaijan,2005,9360
Azerbaijan,2004,9360
Azerbaijan,2003,9360
Azerbaijan,2002,9360
Azerbaijan,2001,9360
Azerbaijan,2000,9360
Azerbaijan,1999,9360
Azerbaijan,1998,9360
Azerbaijan,1997,9360
Azerbaijan,1996,9360
Azerbaijan,1995,9360
Azerbaijan,1994,9360
Azerbaijan,1993,9360
Azerbaijan,1992,9360
Azerbaijan,1990,9360
Bahamas,2012,5150
Bahamas,2011,5150
Bahamas,2010,5150
Bahamas,2009,5150
Bahamas,2008,5150
Bahamas,2007,5150
Bahamas,2006,5150
Bahamas,2005,5150
Bahamas,2004,5150
Bahamas,2003,5150
Bahamas,2002,5150
Bahamas,2001,5150
Bahamas,2000,5150
Bahamas,1999,5150
Bahamas,1998,5150
Bahamas,1997,5150
Bahamas,1996,5150
Bahamas,1995,5150
Bahamas,1994,5150
Bahamas,1993,5150
Bahamas,1992,5150
Bahamas,1991,5150
Bahamas,1990,5150
Bahrain,2012,5.6
Bahrain,2011,5.4
Bahrain,2010,5.3
Bahrain,2009,5.1
Bahrain,2008,4.9
Bahrain,2007,4.8
Bahrain,2006,4.6
Bahrain,2005,5
Bahrain,2004,4
Bahrain,2003,4
Bahrain,2002,4
Bahrain,2001,4
Bahrain,2000,4
Bahrain,1999,4
Bahrain,1998,3
Bahrain,1997,3
Bahrain,1996,3
Bahrain,1995,3
Bahrain,1994,3
Bahrain,1993,3
Bahrain,1992,3
Bahrain,1991,2
Bahrain,1990,2
Bangladesh,2012,14368
Bangladesh,2011,14394
Bangladesh,2010,14420
Bangladesh,2009,14446
Bangladesh,2008,14472
Bangladesh,2007,14498
Bangladesh,2006,14524
Bangladesh,2005,14550
Bangladesh,2004,14576
Bangladesh,2003,14602
Bangladesh,2002,14628
